"DATE","WIN1","WIN2","LOSS1","LOSS2","WINSCORE","LOSSSCORE","POINTS"
"20161217","8","70","11","192","21","19","17"
"20161217","4","167","3","52","21","15","16"
"20161217","70","192","6","142","21","15","16"
"20161217","8","11","6","142","21","18","18"
"20161217","137","119","4","102","21","18","26"
"20161217","137","3","52","167","21","10","16"
"20161217","70","11","192","6","21","16","21"
"20161217","102","4","3","119","21","16","14"
"20161217","102","52","137","167","21","16","21"
"20161217","195","130","15","26","21","18","12"
"20161217","195","130","15","26","21","12","12"
"20161217","195","130","15","132","21","12","22"
"20161217","11","192","6","142","21","8","18"
"20161217","137","3","4","119","21","19","22"
"20161217","192","6","11","142","21","17","18"
"20161217","195","130","132","15","21","17","22"
"20161217","8","70","6","142","21","12","16"
"20161217","102","167","52","137","21","16","28"
"20161217","142","192","11","70","21","11","18"
"20161217","142","70","6","11","21","15","16"
"20161217","3","4","102","119","21","15","12"
"20161217","3","4","130","167","21","16","8"
"20161217","11","192","8","6","21","16","21"
"20161217","11","70","6","142","23","21","19"
"20161217","3","4","119","102","21","16","12"
"20161217","167","8","142","14","21","19","16"
"20161217","195","52","15","26","21","16","7"
"20161217","102","119","192","130","21","16","12"
"20161217","195","132","26","15","21","16","13"
"20161217","11","142","70","6","21","18","21"
"20161217","11","167","142","14","21","13","19"
"20161217","8","14","70","6","21","18","16"
"20161217","195","119","142","106","21","18","17"
"20161217","167","102","192","130","21","19","13"
"20161217","4","3","130","192","21","19","7"
"20161217","4","3","130","192","27","25","7"
"20161210","142","70","11","167","21","16","23"
"20161210","142","8","6","192","21","11","19"
"20161210","137","119","4","102","21","19","26"
"20161210","167","70","11","8","21","7","16"
"20161210","3","102","55","130","21","18","11"
"20161210","3","119","55","130","21","19","12"
"20161210","192","70","6","142","21","15","17"
"20161210","11","8","167","195","21","17","17"
"20161210","137","52","4","194","21","18","16"
"20161210","142","192","70","6","21","15","20"
"20161210","55","130","4","119","21","19","50"
"20161210","8","195","11","194","21","19","17"
"20161210","52","137","3","167","21","18","15"
"20161210","8","194","11","195","21","12","16"
"20161210","137","4","130","55","21","13","7"
"20161210","8","192","70","194","21","15","13"
"20161210","167","3","119","52","21","5","21"
"20161210","3","4","167","137","21","14","14"
"20161210","11","6","142","195","21","13","14"
"20161210","11","192","6","8","21","18","21"
"20161210","52","119","55","130","21","16","11"
"20161210","142","192","194","11","21","10","13"
"20161210","142","194","195","70","21","19","21"
"20161210","142","70","8","192","21","15","23"
"20161210","8","70","6","195","21","16","11"
"20161210","4","119","52","3","21","16","15"
"20161210","4","119","167","130","21","13","9"
"20161210","167","130","55","137","22","20","31"
"20161210","142","192","8","70","21","11","23"
"20161210","3","137","55","119","21","18","13"
"20161210","142","70","194","6","21","10","13"
"20161210","137","192","4","167","21","12","29"
"20161210","194","6","195","11","21","15","19"
"20161203","167","192","119","195","21","15","16"
"20161203","167","192","4","70","21","11","38"
"20161203","15","142","6","11","21","16","25"
"20161203","15","142","8","14","21","11","33"
"20161203","8","14","6","11","21","18","15"
"20161203","167","192","119","70","21","11","23"
"20161203","11","15","6","142","21","17","24"
"20161203","8","14","15","142","22","20","12"
"20161203","4","195","119","70","21","16","15"
"20161203","4","195","192","167","21","17","14"
"20161203","192","167","4","195","21","10","29"
"20161203","4","167","119","195","21","11","8"
"20161203","4","142","192","167","21","15","12"
"20161203","8","14","15","70","21","12","14"
"20161203","142","102","119","195","22","20","15"
"20161203","6","70","11","15","21","16","15"
"20161203","4","102","167","192","22","20","9"
"20161203","8","6","11","14","22","18","19"
"20161203","142","119","4","195","22","20","29"
"20161203","167","192","119","102","21","15","28"
"20161203","14","70","6","15","21","16","14"
"20161203","15","70","8","11","21","13","25"
"20161203","142","192","4","195","21","14","37"
"20161203","11","70","6","14","21","16","21"
"20161203","102","119","142","167","21","16","13"
"20161203","11","15","8","6","21","16","29"
"20161203","11","14","15","6","21","17","15"
"20161203","167","4","119","142","21","13","10"
"20161203","119","6","15","142","21","13","12"
"20161203","167","192","102","195","23","21","17"
"20161126","142","119","167","70","21","17","22"
"20161126","102","15","14","106","21","19","16"
"20161126","167","70","142","119","21","18","18"
"20161126","142","119","167","70","21","18","22"
"20161126","142","119","52","197","21","17","19"
"20161126","130","197","195","192","21","17","23"
"20161126","167","192","130","70","22","20","16"
"20161126","167","119","192","70","23","21","15"
"20161126","142","119","192","167","21","18","20"
"20161126","167","192","119","142","21","13","20"
"20161126","142","119","15","192","21","14","13"
"20161126","102","15","14","106","21","19","16"
"20161126","102","15","70","106","21","19","16"
"20161126","192","195","142","197","21","14","18"
"20161119","142","6","11","8","21","18","26"
"20161119","142","70","192","195","21","10","14"
"20161119","4","119","3","167","21","13","13"
"20161119","52","137","4","102","21","16","24"
"20161119","8","70","6","11","21","18","16"
"20161119","167","137","3","119","21","16","18"
"20161119","142","192","195","6","21","16","17"
"20161119","11","70","8","142","21","17","19"
"20161119","70","192","6","195","22","20","14"
"20161119","4","102","52","119","21","13","13"
"20161119","3","137","102","167","21","15","14"
"20161119","8","142","11","197","21","15","14"
"20161119","195","192","6","70","21","11","32"
"20161119","8","142","11","197","21","13","14"
"20161119","167","3","102","52","21","9","23"
"20161119","52","119","4","137","24","22","36"
"20161119","70","192","6","195","21","18","14"
"20161119","3","119","4","137","21","18","37"
"20161119","197","142","8","195","21","18","27"
"20161119","52","119","102","167","21","18","18"
"20161119","6","192","11","70","21","14","24"
"20161119","142","195","8","197","21","10","27"
"20161119","102","4","3","137","21","18","16"
"20161119","192","6","11","70","22","20","24"
"20161119","4","167","52","142","20","16","11"
"20161119","137","3","102","167","21","11","14"
"20161119","192","6","11","70","21","17","24"
"20161119","8","195","70","197","21","15","19"
"20161119","192","6","11","142","21","16","19"
"20161119","167","4","119","102","21","16","13"
"20161119","167","4","3","137","21","19","18"
"20161029","14","11","6","192","21","17","15"
"20161029","14","8","11","70","23","21","18"
"20161029","137","4","3","167","21","17","10"
"20161029","137","4","102","119","21","17","11"
"20161029","167","102","3","119","21","13","23"
"20161029","8","192","14","6","21","19","22"
"20161029","6","192","11","70","21","19","26"
"20161029","102","4","137","52","21","19","17"
"20161029","70","6","11","14","21","13","21"
"20161029","167","3","52","119","21","17","23"
"20161029","8","192","11","70","21","16","22"
"20161029","70","192","11","6","21","10","22"
"20161029","167","4","119","52","21","11","16"
"20161029","137","6","70","8","21","12","15"
"20161029","52","119","3","102","21","10","20"
"20161029","167","192","11","6","21","8","21"
"20161029","192","70","8","52","21","10","35"
"20161029","3","4","119","102","21","16","12"
"20161029","167","70","52","6","21","19","25"
"20161029","3","137","119","102","21","16","15"
"20161029","167","119","137","3","21","14","31"
"20161029","15","192","6","135","21","13","21"
"20161029","192","70","15","6","21","13","17"
"20161029","70","167","52","11","21","15","26"
"20161029","3","137","119","102","21","16","15"
"20161029","102","4","3","137","21","19","17"
"20161029","192","6","15","70","21","18","19"
"20161022","11","192","8","195","21","9","18"
"20161022","11","142","6","100","21","15","15"
"20161022","142","70","8","192","21","14","20"
"20161022","4","102","3","167","21","14","12"
"20161022","102","119","137","52","21","18","29"
"20161022","100","6","11","70","21","18","35"
"20161022","8","192","100","142","21","17","12"
"20161022","4","70","3","167","21","18","14"
"20161022","4","137","52","119","21","16","12"
"20161022","15","195","135","26","21","18","12"
"20161022","137","167","3","102","21","13","20"
"20161022","11","6","8","70","21","19","25"
"20161022","8","192","100","142","21","15","12"
"20161022","192","6","100","142","21","18","15"
"20161022","3","52","119","4","21","15","24"
"20161022","8","192","70","11","21","16","24"
"20161022","142","6","11","100","21","12","19"
"20161022","102","137","52","167","21","14","16"
"20161022","15","195","135","26","22","20","12"
"20161022","132","15","195","14","21","19","26"
"20161022","8","70","142","192","21","17","12"
"20161022","137","119","4","3","21","18","28"
"20161022","11","70","6","100","21","16","11"
"20161022","11","142","8","192","21","15","21"
"20161022","4","102","52","167","21","17","13"
"20161022","102","119","3","137","22","20","28"
"20161022","142","6","167","70","21","16","30"
"20161022","8","192","11","142","21","19","19"
"20161022","3","137","102","119","21","19","14"
"20161022","6","192","142","11","21","18","23"
"20161022","195","167","4","100","21","11","42"
"20161022","142","6","11","70","21","16","29"
"20161022","195","142","100","192","21","13","20"
"20161022","102","119","3","137","21","16","28"
"20161022","4","100","52","195","21","16","13"
"20161015","142","6","195","192","21","18","15"
"20161015","142","11","167","8","21","14","28"
"20161015","11","192","6","195","21","13","15"
"20161015","8","167","192","142","23","21","11"
"20161015","3","119","102","137","21","18","25"
"20161015","167","11","195","6","21","11","11"
"20161015","137","119","102","70","21","18","15"
"20161015","102","4","137","3","21","19","17"
"20161015","8","192","142","11","21","19","19"
"20161015","192","6","167","195","21","13","21"
"20161015","4","70","3","119","21","18","15"
"20161015","3","119","4","70","21","17","27"
"20161008","130","195","142","6","23","21","26"
"20161008","130","195","11","100","21","18","26"
"20161008","167","2","119","102","21","13","40"
"20161008","11","192","18","100","21","12","14"
"20161008","11","192","18","100","21","15","14"
"20161008","142","195","11","192","21","14","31"
"20161008","167","142","18","100","21","12","14"
"20161008","179","192","11","6","21","10","36"
"20161008","167","192","195","142","21","9","13"
"20161008","2","102","52","119","21","18","37"
"20161008","102","4","2","52","21","15","9"
"20161008","11","18","6","195","21","16","14"
"20161008","4","52","137","130","21","13","11"
"20161008","4","130","196","137","21","12","14"
"20161008","4","102","52","2","21","16","9"
"20161008","4","2","130","102","21","16","14"
"20161008","137","119","52","196","21","16","12"
"20161008","142","6","100","18","21","17","16"
"20161008","142","167","192","6","21","17","17"
"20161008","167","18","11","142","21","15","19"
"20161008","11","18","100","195","21","15","10"
"20161008","142","6","100","195","21","14","13"
"20161008","167","195","192","18","21","17","19"
"20161008","192","195","100","6","21","15","24"
"20161008","52","4","137","119","21","16","14"
"20161008","52","137","2","102","21","16","8"
"20161008","100","6","11","142","21","18","27"
"20161008","100","6","167","195","21","18","23"
"20161008","102","2","130","196","21","16","13"
"20161008","4","2","102","130","21","16","14"
"20161008","130","6","100","18","24","22","16"
"20161008","102","119","2","196","21","15","6"
"20161008","102","4","137","167","21","18","14"
"20161008","4","2","137","119","21","16","24"
"20161001","52","119","3","130","21","18","14"
"20161001","167","100","11","195","21","19","20"
"20161001","4","119","137","102","22","20","17"
"20161001","4","130","3","52","21","12","22"
"20161001","11","142","167","195","21","15","17"
"20161001","137","102","130","119","21","18","11"
"20161001","167","70","11","142","23","21","16"
"20161001","130","52","3","194","21","17","16"
"20161001","142","192","167","11","21","17","36"
"20161001","142","70","167","11","21","18","28"
"20161001","142","167","11","192","21","14","21"
"20161001","102","137","4","194","21","19","16"
"20161001","4","119","3","130","21","19","11"
"20161001","3","130","52","119","21","19","28"
"20161001","3","137","102","130","21","18","11"
"20161001","142","70","11","192","21","18","21"
"20161001","11","70","142","167","21","18","15"
"20161001","137","3","4","119","21","16","22"
"20161001","167","119","192","100","21","15","9"
"20161001","102","4","11","142","21","16","8"
"20161001","102","3","130","194","21","16","7"
"20160924","167","18","100","142","21","18","12"
"20160924","11","6","192","142","21","14","13"
"20160924","11","18","6","167","21","18","21"
"20160924","167","6","11","100","21","15","17"
"20160924","18","100","192","142","21","18","20"
"20160924","167","142","192","18","21","18","15"
"20160924","167","192","18","11","21","19","21"
"20160924","142","6","100","14","21","16","23"
"20160924","11","18","192","167","21","15","19"
"20160924","18","6","142","100","21","16","15"
"20160924","167","192","142","11","21","14","20"
"20160924","11","18","100","6","21","8","14"
"20160924","142","192","167","6","21","14","31"
"20160924","142","11","100","18","21","16","14"
"20160924","6","192","167","11","22","20","33"
"20160917","8","192","100","11","21","19","20"
"20160917","8","11","100","119","21","19","17"
"20160917","11","119","192","167","21","18","13"
"20160917","167","192","119","11","21","9","32"
"20160917","8","14","26","132","21","13","6"
"20160917","11","192","14","100","21","14","19"
"20160917","11","167","8","192","26","21","15"
"20160917","14","119","11","192","21","12","13"
"20160917","8","11","100","119","21","15","17"
"20160917","167","192","119","11","24","22","32"
"20160910","8","119","4","11","21","18","33"
"20160910","142","6","100","192","21","15","16"
"20160910","192","6","142","167","21","17","23"
"20160910","4","119","3","11","21","16","14"
"20160910","4","119","3","8","21","13","13"
"20160910","192","142","6","11","21","19","37"
"20160910","3","4","119","167","21","18","10"
"20160910","11","6","15","142","21","14","10"
"20160910","167","4","8","192","21","14","8"
"20160910","3","4","119","167","21","12","10"
"20160910","14","142","6","100","21","16","16"
"20160910","11","142","6","26","21","19","10"
"20160910","167","4","3","119","24","22","16"
"20160910","192","15","14","100","21","12","31"
"20160910","11","15","79","100","21","15","12"
"20160910","4","8","3","11","21","18","15"
"20160910","119","100","11","3","21","18","33"
"20160910","15","142","6","192","21","12","26"
"20160910","11","4","8","167","21","18","11"
"20160910","11","192","8","6","21","18","23"
"20160910","11","4","192","142","21","16","5"
"20160910","142","100","4","79","21","18","56"
"20160910","119","100","14","3","22","20","33"
"20160910","3","26","119","14","21","18","35"
"20160903","70","100","11","192","21","16","23"
"20160903","6","100","142","167","23","21","25"
"20160903","4","137","119","194","21","14","7"
"20160903","102","3","137","194","21","16","14"
"20160903","11","142","6","167","21","17","23"
"20160903","192","100","70","142","21","16","32"
"20160903","167","100","6","11","21","17","28"
"20160903","167","70","142","192","21","9","10"
"20160903","167","3","194","119","21","15","12"
"20160903","4","194","137","102","21","17","25"
"20160903","4","194","119","102","21","13","20"
"20160903","167","11","142","192","22","20","9"
"20160903","11","6","70","100","21","17","14"
"20160903","137","3","194","102","21","17","9"
"20160903","167","192","142","6","21","19","17"
"20160903","137","102","4","194","21","10","16"
"20160903","70","100","11","142","21","16","23"
"20160903","167","6","192","100","21","16","10"
"20160903","11","142","70","6","21","13","22"
"20160903","137","194","102","119","24","22","25"
"20160903","192","142","167","11","21","11","46"
"20160903","142","100","11","167","21","18","49"
"20160903","102","119","3","4","21","18","33"
"20160903","11","192","6","100","21","17","15"
"20160903","102","4","3","119","21","18","14"
"20160903","3","4","119","102","21","18","12"
"20160827","8","70","6","167","21","17","18"
"20160827","167","11","6","142","21","19","13"
"20160827","119","102","4","192","25","23","21"
"20160827","3","119","102","178","21","15","19"
"20160827","8","11","70","142","21","17","13"
"20160827","192","119","3","178","21","17","38"
"20160827","167","70","142","6","21","14","14"
"20160827","167","70","11","8","21","7","22"
"20160827","3","4","178","192","21","6","8"
"20160827","3","102","4","178","21","16","28"
"20160827","6","70","11","142","21","11","18"
"20160827","8","167","6","11","21","17","19"
"20160827","11","192","70","142","21","17","19"
"20160827","8","6","142","26","21","16","6"
"20160827","4","178","3","167","21","10","12"
"20160827","4","178","3","102","21","15","14"
"20160827","4","192","102","119","21","16","19"
"20160827","11","70","6","192","23","21","12"
"20160827","102","178","119","167","21","16","16"
"20160827","142","6","8","70","21","15","30"
"20160827","11","70","8","142","23","21","15"
"20160827","3","167","4","6","23","21","26"
"20160827","11","192","6","142","21","13","18"
"20160827","3","4","102","178","21","16","13"
"20160827","11","14","26","4","21","18","19"
"20160820","4","178","3","167","21","18","13"
"20160820","70","6","11","167","21","15","23"
"20160820","8","142","192","151","21","13","11"
"20160820","11","132","6","70","21","13","23"
"20160820","3","4","52","178","21","19","15"
"20160820","4","102","3","119","21","19","14"
"20160820","192","6","70","142","21","18","25"
"20160820","167","6","192","8","21","15","15"
"20160820","11","70","15","142","21","11","9"
"20160820","178","102","3","4","21","16","31"
"20160820","8","15","142","6","21","16","19"
"20160820","15","132","151","11","21","16","28"
"20160820","11","192","15","167","21","19","20"
"20160820","3","178","52","102","21","18","21"
"20160820","3","4","178","52","22","20","15"
"20160820","102","133","15","132","21","18","15"
"20160820","151","6","14","132","21","18","26"
"20160820","3","102","4","70","21","13","24"
"20160820","4","6","8","178","21","13","14"
"20160820","11","119","142","15","21","13","8"
"20160820","11","192","142","132","21","18","16"
"20160820","3","4","52","178","21","13","15"
"20160820","8","192","6","70","21","16","26"
"20160820","15","14","70","6","21","15","26"
"20160820","52","178","102","119","21","16","17"
"20160820","14","151","133","102","21","18","19"
"20160820","3","4","119","167","21","9","11"
"20160820","11","133","151","192","21","19","15"
"20160820","11","132","102","133","21","17","16"
"20160813","11","15","8","70","21","16","28"
"20160813","167","119","3","4","21","19","39"
"20160813","3","4","167","119","21","18","10"
"20160813","3","4","119","167","21","17","10"
"20160813","11","119","8","70","21","19","18"
"20160813","3","4","52","192","21","18","9"
"20160813","11","119","15","132","21","16","9"
"20160813","52","167","3","4","21","18","32"
"20160813","52","70","11","8","21","16","15"
"20160813","52","192","11","132","21","16","17"
"20160813","3","4","167","52","21","18","12"
"20160813","133","102","14","15","21","16","25"
"20160813","8","132","70","15","21","9","19"
"20160813","52","119","4","192","21","19","18"
"20160813","133","102","14","11","21","19","36"
"20160813","133","102","11","15","23","21","24"
"20160813","52","11","119","15","21","5","12"
"20160813","11","192","14","70","21","16","31"
"20160813","52","192","11","8","21","10","22"
"20160813","102","4","3","119","21","10","14"
"20160813","119","4","3","102","21","13","15"
"20160806","70","6","11","142","21","18","16"
"20160806","8","4","3","102","21","11","17"
"20160806","11","167","6","142","22","20","14"
"20160806","4","52","3","102","21","15","13"
"20160806","11","167","70","142","21","19","17"
"20160806","4","167","3","52","21","19","19"
"20160806","102","133","15","135","21","11","14"
"20160806","102","133","15","132","21","19","16"
"20160806","11","142","6","70","21","11","24"
"20160806","102","4","3","167","21","16","13"
"20160806","11","15","26","135","21","12","7"
"20160806","132","6","133","102","21","12","19"
"20160806","14","135","11","15","21","6","20"
"20160806","167","119","4","102","21","17","38"
"20160806","11","6","70","142","21","15","18"
"20160806","11","6","70","142","21","18","18"
"20160806","167","119","4","102","21","13","38"
"20160806","3","4","167","119","21","18","10"
"20160806","11","142","6","135","21","15","16"
"20160806","11","26","15","142","21","19","23"
"20160806","3","4","167","119","21","8","10"
"20160806","3","4","167","119","21","10","10"
"20160806","11","142","102","133","21","18","16"
"20160730","11","68","15","106","21","16","15"
"20160730","15","167","11","8","21","15","29"
"20160730","8","119","15","167","21","8","12"
"20160730","3","4","119","102","21","10","12"
"20160730","4","119","3","102","21","9","16"
"20160730","4","8","102","167","21","16","13"
"20160730","3","102","4","11","21","10","24"
"20160730","11","3","15","119","21","16","13"
"20160730","11","3","15","119","21","15","13"
"20160730","4","102","3","119","21","16","14"
"20160723","11","6","8","142","21","12","18"
"20160723","11","142","6","167","21","19","22"
"20160723","52","119","3","70","26","24","18"
"20160723","167","142","6","11","21","14","24"
"20160723","167","6","142","11","21","14","18"
"20160723","11","6","8","142","21","11","18"
"20160723","4","119","3","70","21","18","14"
"20160723","102","4","52","70","21","18","14"
"20160723","4","102","3","119","21","16","14"
"20160723","8","167","142","11","21","16","16"
"20160723","11","167","6","8","23","21","19"
"20160723","3","70","52","119","21","19","22"
"20160709","14","18","11","6","21","16","22"
"20160709","4","70","102","137","23","21","18"
"20160709","102","119","3","52","21","15","27"
"20160709","11","18","8","167","21","16","26"
"20160709","3","52","4","119","21","16","22"
"20160709","18","6","14","11","21","18","31"
"20160709","18","167","6","8","21","15","26"
"20160709","102","137","52","70","21","13","17"
"20160709","18","11","14","167","21","17","26"
"20160709","137","119","3","4","21","15","27"
"20160625","4","119","52","8","21","19","15"
"20160625","3","119","52","6","21","12","17"
"20160625","11","15","26","135","21","19","7"
"20160625","11","142","132","139","21","13","14"
"20160625","3","55","4","102","21","16","31"
"20160625","11","142","6","15","21","15","16"
"20160625","8","132","167","139","21","19","16"
"20160625","102","52","119","4","21","18","25"
"20160625","15","132","11","139","21","16","25"
"20160625","3","55","52","119","21","18","23"
"20160625","142","6","167","8","21","16","31"
"20160625","26","6","132","135","21","15","28"
"20160625","119","52","4","102","21","19","27"
"20160625","11","14","139","142","24","22","10"
"20160625","15","167","48","8","21","15","27"
"20160625","4","102","3","55","21","13","13"
"20160625","4","102","3","55","21","18","13"
"20160625","11","48","139","142","21","19","11"
"20160625","26","6","132","135","21","16","28"
"20160625","15","6","14","132","21","16","27"
"20160625","142","132","139","167","21","17","23"
"20160625","119","52","4","102","21","14","27"
"20160625","8","135","6","15","21","15","17"
"20160625","11","142","26","139","21","7","7"
"20160625","3","4","55","102","21","19","11"
"20160625","167","6","14","48","21","19","23"
"20160625","102","55","52","119","21","15","25"
"20160625","8","11","26","142","21","9","6"
"20160625","135","6","48","15","21","17","22"
"20160625","3","119","4","55","23","21","26"
"20160625","8","6","48","142","21","17","15"
"20160625","11","14","15","26","21","19","5"
"20160625","102","4","52","55","21","15","14"
"20160618","11","6","100","142","22","20","12"
"20160618","157","52","3","4","21","16","24"
"20160618","157","4","52","102","21","18","13"
"20160618","11","6","100","142","21","15","12"
"20160618","167","6","11","186","21","18","16"
"20160618","8","167","14","185","21","13","14"
"20160618","119","157","52","102","21","19","21"
"20160618","157","119","3","102","21","19","20"
"20160618","11","6","100","142","21","19","12"
"20160618","157","52","119","190","21","16","8"
"20160618","190","52","4","191","21","16","29"
"20160618","100","6","185","11","21","15","24"
"20160618","102","119","191","190","21","15","6"
"20160618","4","102","3","119","21","16","13"
"20160618","102","4","3","191","21","17","8"
